freq_bandwidth,sub_size,r2,r2_std
"(1, 10)",10,-0.034819509302782534,0.023545379648936875
"(1, 10)",20,-0.03329678410923225,0.02295368270656574
"(1, 10)",40,-0.03342947632761206,0.020895656347707087
"(1, 10)",80,-0.03322232126060408,0.0230538835674092
"(1, 10)",100,-0.0428417819510214,0.025696958285380354
"(1, 10)",200,-0.03670346363580029,0.023188324296139276
"(1, 10)",400,-0.039635107291309396,0.02372216276721086
"(1, 100)",10,-0.033267254871083424,0.02146505499786894
"(1, 100)",20,-0.03662485934938377,0.02450964113706382
"(1, 100)",40,-0.03849718349456089,0.025435111355063933
"(1, 100)",80,-0.032372903655224945,0.022420482629382153
"(1, 100)",100,-0.03362202404602431,0.024112242284531845
"(1, 100)",200,-0.03647032273258083,0.02454287502762918
"(1, 100)",400,-0.03497324530710466,0.02223242731415927
"(1, 1000)",10,-0.03475192292511929,0.02253254036402362
"(1, 1000)",20,-0.03233109153865371,0.021437540647867872
"(1, 1000)",40,-0.03592995932209306,0.024532912570496553
"(1, 1000)",80,-0.03463285837799776,0.022140248025557276
"(1, 1000)",100,-0.033480902482173405,0.02286316136663456
"(1, 1000)",200,-0.03546732470169672,0.025286149974634582
"(1, 1000)",400,-0.0327301828332711,0.021360877120266165
"(1, 10000)",10,-0.03193049159588918,0.02093716461950326
"(1, 10000)",20,-0.03920689251250587,0.025053331289581624
"(1, 10000)",40,-0.041497811975423245,0.025211679752385172
"(1, 10000)",80,-0.03740101030240476,0.02532293251986283
"(1, 10000)",100,-0.03513806679053232,0.024835839066164957
"(1, 10000)",200,-0.033267176165012645,0.020744773692857283
"(1, 10000)",400,-0.032546751916757787,0.02184196421311743
